name,price,comment_num,link
 零基础学Python（全彩版）,39.9,15475,//product.dangdang.com/28486010.html
 Python编程 从入门到实践 第2版,54.9,218258,//product.dangdang.com/29280602.html
 DK编程真好玩：9岁开始学Python,59.0,13745,//product.dangdang.com/27940162.html
 Python爬虫技术——深入理解原理、技术与开发,44.5,2591,//product.dangdang.com/28510027.html
 Python项目开发案例集锦（全彩版）,64.0,3513,//product.dangdang.com/28486019.html
 Python编程快速上手 让繁琐工作自动化 第2版,44.5,44571,//product.dangdang.com/29206214.html
 用Python编程和实践！数学教科书 机器学习 深度学习中必要的基础知识 人工智能 数学基础书 用python学数学 线,44.9,466,//product.dangdang.com/29257459.html
 Python+Office：轻松实现Python办公自动化,62.4,225,//product.dangdang.com/29274777.html
 利用Python进行数据分析（原书第2版）,77.4,33763,//product.dangdang.com/25312917.html
 Python数据分析从入门到实践（全彩版）,49.0,944,//product.dangdang.com/29249036.html
 Python语言程序设计基础（第2版）,32.1,6697,//product.dangdang.com/24189864.html
 Python编程超级魔卡(全彩版),14.9,2540,//product.dangdang.com/28979311.html
 Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（当当套装共3册）,133.9,894,//product.dangdang.com/29301947.html
 超简单：用Python让Excel飞起来,34.9,5131,//product.dangdang.com/28999406.html
 Python学习手册（原书第5版）,142.4,10040,//product.dangdang.com/25576578.html
 Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少,52.3,3535,//product.dangdang.com/28524470.html
 Python网络爬虫从入门到实践（全彩版）,49.0,471,//product.dangdang.com/29249035.html
 看漫画学Python：有趣、有料、好玩、好用（全彩版）,59.7,6170,//product.dangdang.com/28547874.html
 程序员数学 用Python学透线性代数和微积分,102.5,179,//product.dangdang.com/29342404.html
 Python编程300例——快速构建可执行高质量代码,44.5,1476,//product.dangdang.com/28980121.html
 Python黑帽子：黑客与渗透测试编程之道（第2版）,79.0,2,//product.dangdang.com/29385527.html
 流畅的Python,109.6,10379,//product.dangdang.com/25071121.html
 超简单：用Python让Excel飞起来（实战150例）,39.9,879,//product.dangdang.com/29279837.html
 Python Qt GUI与数据可视化编程,66.4,3328,//product.dangdang.com/27918134.html
 用图形学Python 3,29.9,381,//product.dangdang.com/29222668.html
 零基础学Python爬虫 数据分析与可视化从入门到精通,44.9,2932,//product.dangdang.com/29166854.html
 Python工匠：案例、技巧与工程实践（基于Python 3.8，实现Python编程从入门到工匠的跃迁）,78.8,151,//product.dangdang.com/29367298.html
 Django + Vue.js实战派——Python Web开发与运维,96.0,1,//product.dangdang.com/29387504.html
 Python GUI 设计tkinter从入门到实践（全彩版）,49.0,520,//product.dangdang.com/29249040.html
 Python3网络爬虫开发实战 第2版,110.4,449,//product.dangdang.com/29339223.html
 日系图书用Python编程和实践！区块链教科书 从零创建简单区块链程序 比特币 元宇宙 数字货币 新金融底层技术 p2p,44.9,213,//product.dangdang.com/29257456.html
 Python GUI设计PyQt5从入门到实践（全彩版）,49.0,1041,//product.dangdang.com/29225822.html
 Python极客项目编程,46.3,3245,//product.dangdang.com/25060153.html
 Python OpenCV 从入门到实践（全彩版）,49.0,510,//product.dangdang.com/29250278.html
 Python实效编程百例·综合卷(全彩版),39.9,1460,//product.dangdang.com/28980468.html
 Python编程无师自通 专业程序员的养成,46.6,3490,//product.dangdang.com/26440157.html
 笨办法学Python 3,39.6,16148,//product.dangdang.com/25286312.html
 Python数据分析与可视化,29.9,251,//product.dangdang.com/29277911.html
 Python项目开发实战入门（全彩版）,49.0,955,//product.dangdang.com/28976933.html
 Python函数参考手册（全彩版）,26.9,855,//product.dangdang.com/28980472.html
 Python算法从入门到实践（全彩版）,49.0,248,//product.dangdang.com/29249037.html
 Python股票量化交易从入门到实践,49.9,2177,//product.dangdang.com/29279080.html
 时间序列预测：基于机器学习和Python实现,66.7,70,//product.dangdang.com/29362871.html
 少儿编程之旅 趣学Python,38.7,650,//product.dangdang.com/28977660.html
 对比Excel，轻松学习Python数据分析,39.6,29822,//product.dangdang.com/26512595.html
 Python数据分析与挖掘实战（第2版）,39.5,3039,//product.dangdang.com/28481513.html
 Python从入门到实践（全彩版）,44.9,150,//product.dangdang.com/29227961.html
 Python编程实战100例 100个编程实例 1390分钟视频讲解 核心编程应用 项目开发 python进阶 pyth,44.9,480,//product.dangdang.com/29307355.html
 Python编程从数据分析到机器学习实践（微课视频版）,49.9,1181,//product.dangdang.com/28517948.html
 Python+Kivy(App开发)从入门到实践(全彩版),49.0,1100,//product.dangdang.com/28980464.html
 Python从入门到项目实践（全彩版）,49.9,2314,//product.dangdang.com/28486024.html
 Python王者归来（增强版）,84.5,121,//product.dangdang.com/29308247.html
 Python速查手册·模块卷（全彩版）,65.5,831,//product.dangdang.com/28996022.html
 Python速查手册·基础卷（全彩版）,57.7,853,//product.dangdang.com/28994565.html
